2026-01-27 19:13:23 |  INFO  | 1a297fb7-2289-44a9-bd46-1b0fe9aeb448 | GET |  \config\StartConfig:49  |    127.0.0.1     | / | 接口请求参数 query：{"a": "1", "b": "1"}
2026-01-27 19:13:23 |  INFO  | 1a297fb7-2289-44a9-bd46-1b0fe9aeb448 | GET |  \config\StartConfig:51  |    127.0.0.1     | / | 接口请求头部参数信息：{"host": "127.0.0.1:8080", "connection": "keep-alive", "cache-control": "max-age=0", "sec-ch-ua": "\"Google Chrome\";v=\"143\", \"Chromium\";v=\"143\", \"Not A(Brand\";v=\"24\"", "sec-ch-ua-mobile": "?0", "sec-ch-ua-platform": "\"Windows\"", "upgrade-insecure-requests": "1", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36", "accept": "text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7", "sec-fetch-site": "none", "sec-fetch-mode": "navigate", "sec-fetch-user": "?1", "sec-fetch-dest": "document", "accept-encoding": "gzip, deflate, br, zstd", "accept-language": "zh-CN,zh;q=0.9"}
2026-01-27 19:13:23 |  INFO  | 1a297fb7-2289-44a9-bd46-1b0fe9aeb448 | GET |  \config\StartConfig:23  |    127.0.0.1     | / | 接口返回值：{"detail":[{"type":"missing","loc":["body"],"msg":"Field required","input":null}]}
2026-01-27 19:13:23 |  INFO  | a2de3467-b27f-418c-b7b6-a094d12465a7 | GET |  \config\StartConfig:51  |    127.0.0.1     | /favicon.ico | 接口请求头部参数信息：{"host": "127.0.0.1:8080", "connection": "keep-alive", "sec-ch-ua-platform": "\"Windows\"", "user-agent": "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36", "sec-ch-ua": "\"Google Chrome\";v=\"143\", \"Chromium\";v=\"143\", \"Not A(Brand\";v=\"24\"", "sec-ch-ua-mobile": "?0", "accept": "image/avif,image/webp,image/apng,image/svg+xml,image/*,*/*;q=0.8", "sec-fetch-site": "same-origin", "sec-fetch-mode": "no-cors", "sec-fetch-dest": "image", "referer": "http://127.0.0.1:8080/?a=1&b=1", "accept-encoding": "gzip, deflate, br, zstd", "accept-language": "zh-CN,zh;q=0.9"}
2026-01-27 19:13:23 |  INFO  | a2de3467-b27f-418c-b7b6-a094d12465a7 | GET |  \config\StartConfig:23  |    127.0.0.1     | /favicon.ico | 接口返回值：{"detail":"Not Found"}
2026-01-27 19:14:31 |  INFO  | 6c6a044d-dc5a-42fc-bb07-28cc130cb49f | GET |  \config\StartConfig:50  |    127.0.0.1     | / | 接口请求参数 query：{"a": "1", "b": "1"}
2026-01-27 19:14:31 |  INFO  | 6c6a044d-dc5a-42fc-bb07-28cc130cb49f | GET |  \config\StartConfig:24  |    127.0.0.1     | / | 接口返回值：{"detail":[{"type":"missing","loc":["body"],"msg":"Field required","input":null}]}
2026-01-27 19:14:31 |  INFO  | a525bb60-45e2-4de6-a2fc-b5b14e03099d | GET |  \config\StartConfig:24  |    127.0.0.1     | /favicon.ico | 接口返回值：{"detail":"Not Found"}
2026-01-27 19:14:42 |  INFO  | 5d357d24-f0c7-4db6-adce-2af4c61aeb52 | GET |  \config\StartConfig:50  |    127.0.0.1     | / | 接口请求参数 query：{"a": "1", "b": "1"}
2026-01-27 19:14:42 |  INFO  | 5d357d24-f0c7-4db6-adce-2af4c61aeb52 | GET |  \config\StartConfig:24  |    127.0.0.1     | / | 接口返回值：{"detail":[{"type":"missing","loc":["body"],"msg":"Field required","input":null}]}
2026-01-27 19:14:42 |  INFO  | 272f5993-1a37-4b98-a79c-42e5d5a253b2 | GET |  \config\StartConfig:24  |    127.0.0.1     | /favicon.ico | 接口返回值：{"detail":"Not Found"}
